IN/2	TA/2	TR/1
0 0	0 0	1
1 0	0 0	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
1 1	1 1	1
0 0	0 0	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 0	0 0	1
1 1	1 1	1
1 1	1 1	1
0 0	0 0	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 0	0 0	1
0 1	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
0 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 0	0 0	1
0 1	0 0	1
1 0	0 0	1
1 0	0 0	1
1 1	1 1	1
0 0	0 0	1
1 0	0 0	1
0 1	0 0	1
0 0	0 0	1
1 0	0 0	1
