CS/1	R/1		LOC/1
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		1		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
0		0		0
1		0		1
0		0		0
