T/1	Light:0	Pupil:0	Pupil:1	Pupil:2	
0	0.0000	0.0000	0.0000	0.0000	
1	0.5000	0.0000	0.0000	0.2000	
2	1.5000	0.0000	0.0000	0.3800	
3	1.5000	0.0000	0.0000	0.5420	
4	1.5000	0.0000	0.0000	0.6878	
5	1.5000	0.0000	0.0000	0.8190	
6	1.5000	0.0000	0.0000	0.9371	
7	1.5000	0.0000	0.0000	1.0434	
8	1.5000	0.0000	0.0000	1.1391	
9	1.5000	0.0000	0.0000	1.2252	
10	1.5000	0.0000	0.0000	1.3026	
11	1.5000	0.0000	0.0000	1.3724	
12	1.5000	0.0000	0.0000	1.4351	
13	1.5000	0.0000	0.0000	1.4916	
14	1.5000	0.0000	0.0000	1.5425	
15	1.5000	0.0000	0.0000	1.5882	
16	1.5000	0.0000	0.0000	1.6294	
17	1.5000	0.0000	0.0000	1.6665	
18	1.5000	0.0000	0.0000	1.6998	
19	1.5000	0.0000	0.0000	1.7298	
20	1.5000	0.0000	0.0000	1.7568	
21	1.5000	0.0000	0.0000	1.7812	
22	1.5000	0.0000	0.0000	1.8030	
23	1.5000	0.0000	0.0000	1.8227	
24	1.5000	0.0000	0.0000	1.8405	
25	1.5000	0.0000	0.0000	1.8564	
26	0.5000	0.0000	0.0000	1.8708	
27	0.5000	0.0000	0.0000	1.8837	
28	0.5000	0.0000	0.0000	1.8953	
29	0.5000	0.0000	0.0000	1.9058	
30	0.5000	0.0000	0.0000	1.9152	
31	0.5000	0.0000	0.0000	1.9237	
32	0.5000	0.0000	0.0000	1.9313	
33	0.5000	0.0000	0.0000	1.9382	
34	0.5000	0.0000	0.0000	1.9444	
35	0.5000	0.0000	0.0000	1.9499	
36	0.5000	0.0000	0.0000	1.9549	
37	0.5000	0.0000	0.0000	1.9594	
38	0.5000	0.0000	0.0000	1.9635	
39	0.5000	0.0000	0.0000	1.9672	
40	0.5000	0.0000	0.0000	1.9704	
41	0.5000	0.0000	0.0000	1.9734	
42	0.5000	0.0000	0.0000	1.9761	
43	0.5000	0.0000	0.0000	1.9784	
44	0.5000	0.0000	0.0000	1.9806	
45	0.5000	0.0000	0.0000	1.9825	
46	0.5000	0.0000	0.0000	1.9843	
47	0.5000	0.0000	0.0000	1.9859	
48	0.5000	0.0000	0.0000	1.9873	
49	0.5000	0.0000	0.0000	1.9885	
50	0.5000	0.0000	0.0000	1.9897	
51	0.5000	0.0000	0.0000	1.9907	
52	0.5000	0.0000	0.0000	1.9917	
53	0.5000	0.0000	0.0000	1.9925	
54	0.5000	0.0000	0.0000	1.9932	
55	0.5000	0.0000	0.0000	1.9939	
56	0.5000	0.0000	0.0000	1.9945	
57	0.5000	0.0000	0.0000	1.9951	
58	0.5000	0.0000	0.0000	1.9956	
59	0.5000	0.0000	0.0000	1.9960	
60	0.5000	0.0000	0.0000	1.9964	
61	0.5000	0.0000	0.0000	1.9968	
62	0.5000	0.0000	0.0000	1.9971	
63	0.5000	0.0000	0.0000	1.9974	
64	0.5000	0.0000	0.0000	1.9976	
65	0.5000	0.0000	0.0000	1.9979	
66	0.5000	0.0000	0.0000	1.9981	
67	0.5000	0.0000	0.0000	1.9983	
68	0.5000	0.0000	0.0000	1.9985	
69	0.5000	0.0000	0.0000	1.9986	
70	0.5000	0.0000	0.0000	1.9987	
71	0.5000	0.0000	0.0000	1.9989	
72	0.5000	0.0000	0.0000	1.9990	
73	0.5000	0.0000	0.0000	1.9991	
74	0.5000	0.0000	0.0000	1.9992	
75	0.5000	0.0000	0.0000	1.9993	
76	0.5000	0.0000	0.0000	1.9993	
77	0.5000	0.0000	0.0000	1.9994	
78	0.5000	0.0000	0.0000	1.9995	
79	0.5000	0.0000	0.0000	1.9995	
80	0.5000	0.0000	0.0000	1.9996	
81	0.5000	0.0000	0.0000	1.9996	
82	0.5000	0.0000	0.0000	1.9996	
83	0.5000	0.0000	0.0000	1.9997	
84	0.5000	0.0000	0.0000	1.9997	
85	0.5000	0.0000	0.0000	1.9997	
86	0.5000	0.0000	0.0000	1.9998	
87	0.5000	0.0000	0.0000	1.9998	
88	0.5000	0.0000	0.0000	1.9998	
89	0.5000	0.0000	0.0000	1.9998	
90	0.5000	0.0000	0.0000	1.9998	
91	0.5000	0.0000	0.0000	1.9999	
92	0.5000	0.0000	0.0000	1.9999	
93	0.5000	0.0000	0.0000	1.9999	
94	0.5000	0.0000	0.0000	1.9999	
95	0.5000	0.0000	0.0000	1.9999	
96	0.5000	0.0000	0.0000	1.9999	
97	0.5000	0.0000	0.0000	1.9999	
98	0.5000	0.0000	0.0000	1.9999	
99	0.5000	0.0000	0.0000	1.9999	
100	0.5000	0.0000	0.0000	1.9999	
101	0.5000	0.0000	0.0000	2.0000	
102	0.5000	0.0000	0.0000	2.0000	
103	0.5000	0.0000	0.0000	2.0000	
104	0.5000	0.0000	0.0000	2.0000	
105	0.5000	0.0000	0.0000	2.0000	
106	0.5000	0.0000	0.0000	2.0000	
107	0.5000	0.0000	0.0000	2.0000	
108	0.5000	0.0000	0.0000	2.0000	
109	0.5000	0.0000	0.0000	2.0000	
110	0.5000	0.0000	0.0000	2.0000	
111	0.5000	0.0000	0.0000	2.0000	
112	0.5000	0.0000	0.0000	2.0000	
113	0.5000	0.0000	0.0000	2.0000	
114	0.5000	0.0000	0.0000	2.0000	
115	0.5000	0.0000	0.0000	2.0000	
116	0.5000	0.0000	0.0000	2.0000	
117	0.5000	0.0000	0.0000	2.0000	
118	0.5000	0.0000	0.0000	2.0000	
119	0.5000	0.0000	0.0000	2.0000	
120	0.5000	0.0000	0.0000	2.0000	
121	0.5000	0.0000	0.0000	2.0000	
122	0.3800	0.0000	0.0000	2.0000	
123	0.3200	0.0000	0.0000	2.0000	
124	0.4100	0.0000	0.0000	2.0000	
125	0.4100	0.0000	0.0000	2.0000	
126	0.4100	0.0000	0.0000	2.0000	
127	0.4100	0.0000	0.0000	2.0000	
128	0.4100	0.0000	0.0000	2.0000	
129	0.4100	0.0000	0.0000	2.0000	
130	0.4100	0.0000	0.0000	2.0000	
131	0.4100	0.0000	0.0000	2.0000	
132	0.4100	0.0000	0.0000	2.0000	
133	0.4100	0.0000	0.0000	2.0000	
134	0.4100	0.0000	0.0000	2.0000	
135	0.4100	0.0000	0.0000	2.0000	
136	0.4100	0.0000	0.0000	2.0000	
137	0.4100	0.0000	0.0000	2.0000	
138	0.4100	0.0000	0.0000	2.0000	
139	0.4100	0.0000	0.0000	2.0000	
140	0.4100	0.0000	0.0000	2.0000	
141	0.4100	0.0000	0.0000	2.0000	
142	0.4100	0.0000	0.0000	2.0000	
143	0.4100	0.0000	0.0000	2.0000	
144	0.4100	0.0000	0.0000	2.0000	
145	0.4100	0.0000	0.0000	2.0000	
146	0.4100	0.0000	0.0000	2.0000	
147	0.4100	0.0000	0.0000	2.0000	
148	0.4100	0.0000	0.0000	2.0000	
149	0.4100	0.0000	0.0000	2.0000	
150	0.4100	0.0000	0.0000	2.0000	
151	0.4100	0.0000	0.0000	2.0000	
152	0.4100	0.0000	0.0000	2.0000	
153	0.4100	0.0000	0.0000	2.0000	
154	0.4100	0.0000	0.0000	2.0000	
155	0.4100	0.0000	0.0000	2.0000	
156	0.4100	0.0000	0.0000	2.0000	
157	0.4100	0.0000	0.0000	2.0000	
158	0.4100	0.0000	0.0000	2.0000	
159	0.4100	0.0000	0.0000	2.0000	
160	0.4100	0.0000	0.0000	2.0000	
161	0.4100	0.0000	0.0000	2.0000	
162	0.4100	0.0000	0.0000	2.0000	
163	0.4100	0.0000	0.0000	2.0000	
164	0.4100	0.0000	0.0000	2.0000	
165	0.4100	0.0000	0.0000	2.0000	
166	0.4100	0.0000	0.0000	2.0000	
167	0.4100	0.0000	0.0000	2.0000	
168	0.4100	0.0000	0.0000	2.0000	
169	0.4100	0.0000	0.0000	2.0000	
170	0.4100	0.0000	0.0000	2.0000	
