T/1	Light/1	Pupil/3			PupilUpregulated/3			
0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1	0.0000	0.0000	0.0000	0.0200	0.0000	0.0000	0.0200	
2	1.0000	0.0000	0.0000	0.0380	0.0000	0.0000	0.0380	
3	1.0000	0.0000	0.0000	0.0542	0.0000	0.0000	0.0542	
4	1.0000	0.0000	0.0000	0.0688	0.0000	0.0000	0.0688	
5	1.0000	0.0000	0.0000	0.0819	0.0000	0.0000	0.0819	
6	1.0000	0.0000	0.0000	0.0937	0.0000	0.0000	0.0937	
7	1.0000	0.0000	0.0000	0.1043	0.0000	0.0000	0.1043	
8	0.0000	0.0000	0.0000	0.1139	0.0000	0.0000	0.1139	
9	0.0000	0.0000	0.0000	0.1225	0.0000	0.0000	0.1225	
10	0.0000	0.0000	0.0000	0.1303	0.0000	0.0000	0.1303	
11	0.0000	0.0000	0.0000	0.1372	0.0000	0.0000	0.1372	
12	0.0000	0.0000	0.0000	0.1435	0.0000	0.0000	0.1435	
13	0.0000	0.0000	0.0000	0.1492	0.0000	0.0000	0.1492	
14	0.0000	0.0000	0.0000	0.1542	0.0000	0.0000	0.1542	
15	0.0000	0.0000	0.0000	0.1596	0.0000	0.0000	0.1596	
16	0.0000	0.0000	0.0000	0.1658	0.0000	0.0000	0.1658	
17	0.0000	0.0000	0.0000	0.1732	0.0000	0.0000	0.1732	
18	0.0000	0.0000	0.0000	0.1821	0.0000	0.0000	0.1821	
19	0.0000	0.0000	0.0000	0.1924	0.0000	0.0000	0.1923	
20	0.0000	0.0000	0.0000	0.2040	0.0000	0.0000	0.2038	
21	0.0000	0.0000	0.0000	0.2168	0.0000	0.0000	0.2162	
22	0.0000	0.0000	0.0000	0.2305	0.0000	0.0000	0.2295	
23	0.0000	0.0000	0.0000	0.2449	0.0000	0.0000	0.2432	
24	0.0000	0.0000	0.0000	0.2598	0.0000	0.0000	0.2571	
25	0.0000	0.0000	0.0000	0.2749	0.0000	0.0000	0.2710	
26	0.0000	0.0000	0.0000	0.2902	0.0000	0.0000	0.2847	
27	0.0000	0.0000	0.0000	0.3053	0.0000	0.0000	0.2983	
28	0.0000	0.0000	0.0000	0.3203	0.0000	0.0000	0.3114	
29	0.0000	0.0000	0.0000	0.3350	0.0000	0.0000	0.3242	
30	0.0000	0.0000	0.0000	0.3494	0.0000	0.0000	0.3365	
31	0.0000	0.0000	0.0000	0.3634	0.0000	0.0000	0.3483	
32	0.0000	0.0000	0.0000	0.3770	0.0000	0.0000	0.3597	
33	0.0000	0.0000	0.0000	0.3901	0.0000	0.0000	0.3706	
34	0.0000	0.0000	0.0000	0.4028	0.0000	0.0000	0.3811	
35	0.0000	0.0000	0.0000	0.4150	0.0000	0.0000	0.3911	
36	0.0000	0.0000	0.0000	0.4267	0.0000	0.0000	0.4007	
37	0.0000	0.0000	0.0000	0.4380	0.0000	0.0000	0.4099	
38	0.0000	0.0000	0.0000	0.4488	0.0000	0.0000	0.4188	
39	0.0000	0.0000	0.0000	0.4592	0.0000	0.0000	0.4273	
40	0.0000	0.0000	0.0000	0.4691	0.0000	0.0000	0.4356	
41	0.0000	0.0000	0.0000	0.4787	0.0000	0.0000	0.4436	
42	0.0000	0.0000	0.0000	0.4879	0.0000	0.0000	0.4513	
43	0.0000	0.0000	0.0000	0.4968	0.0000	0.0000	0.4588	
44	0.0000	0.0000	0.0000	0.5053	0.0000	0.0000	0.4661	
45	0.0000	0.0000	0.0000	0.5135	0.0000	0.0000	0.4733	
46	0.0000	0.0000	0.0000	0.5214	0.0000	0.0000	0.4802	
47	0.0000	0.0000	0.0000	0.5290	0.0000	0.0000	0.4870	
48	0.0000	0.0000	0.0000	0.5363	0.0000	0.0000	0.4937	
49	0.0000	0.0000	0.0000	0.5434	0.0000	0.0000	0.5003	
50	0.0000	0.0000	0.0000	0.5502	0.0000	0.0000	0.5067	
51	0.0000	0.0000	0.0000	0.5568	0.0000	0.0000	0.5130	
52	0.0000	0.0000	0.0000	0.5633	0.0000	0.0000	0.5193	
53	0.0000	0.0000	0.0000	0.5695	0.0000	0.0000	0.5254	
54	0.0000	0.0000	0.0000	0.5755	0.0000	0.0000	0.5314	
55	0.0000	0.0000	0.0000	0.5813	0.0000	0.0000	0.5374	
56	0.0000	0.0000	0.0000	0.5869	0.0000	0.0000	0.5432	
57	0.0000	0.0000	0.0000	0.5924	0.0000	0.0000	0.5490	
58	0.0000	0.0000	0.0000	0.5977	0.0000	0.0000	0.5547	
59	0.0000	0.0000	0.0000	0.6028	0.0000	0.0000	0.5603	
60	0.0000	0.0000	0.0000	0.6078	0.0000	0.0000	0.5658	
61	0.0000	0.0000	0.0000	0.6127	0.0000	0.0000	0.5712	
62	0.0000	0.0000	0.0000	0.6174	0.0000	0.0000	0.5766	
63	0.0000	0.0000	0.0000	0.6219	0.0000	0.0000	0.5818	
64	0.0000	0.0000	0.0000	0.6264	0.0000	0.0000	0.5870	
65	0.0000	0.0000	0.0000	0.6307	0.0000	0.0000	0.5920	
66	0.0000	0.0000	0.0000	0.6348	0.0000	0.0000	0.5970	
67	0.0000	0.0000	0.0000	0.6389	0.0000	0.0000	0.6018	
68	0.0000	0.0000	0.0000	0.6428	0.0000	0.0000	0.6066	
69	0.0000	0.0000	0.0000	0.6466	0.0000	0.0000	0.6112	
70	0.0000	0.0000	0.0000	0.6502	0.0000	0.0000	0.6158	
71	0.0000	0.0000	0.0000	0.6538	0.0000	0.0000	0.6202	
72	0.0000	0.0000	0.0000	0.6572	0.0000	0.0000	0.6246	
73	0.0000	0.0000	0.0000	0.6606	0.0000	0.0000	0.6288	
74	0.0000	0.0000	0.0000	0.6638	0.0000	0.0000	0.6329	
75	0.0000	0.0000	0.0000	0.6669	0.0000	0.0000	0.6369	
76	0.0000	0.0000	0.0000	0.6699	0.0000	0.0000	0.6409	
77	0.0000	0.0000	0.0000	0.6728	0.0000	0.0000	0.6447	
78	0.0000	0.0000	0.0000	0.6756	0.0000	0.0000	0.6484	
79	0.0000	0.0000	0.0000	0.6784	0.0000	0.0000	0.6520	
80	0.0000	0.0000	0.0000	0.6810	0.0000	0.0000	0.6555	
81	0.0000	0.0000	0.0000	0.6835	0.0000	0.0000	0.6589	
82	0.0000	0.0000	0.0000	0.6859	0.0000	0.0000	0.6621	
83	0.0000	0.0000	0.0000	0.6883	0.0000	0.0000	0.6653	
84	0.0000	0.0000	0.0000	0.6906	0.0000	0.0000	0.6684	
85	0.0000	0.0000	0.0000	0.6927	0.0000	0.0000	0.6714	
86	0.0000	0.0000	0.0000	0.6948	0.0000	0.0000	0.6743	
87	0.0000	0.0000	0.0000	0.6969	0.0000	0.0000	0.6770	
88	0.0000	0.0000	0.0000	0.6988	0.0000	0.0000	0.6797	
89	0.0000	0.0000	0.0000	0.7007	0.0000	0.0000	0.6823	
90	0.0000	0.0000	0.0000	0.7025	0.0000	0.0000	0.6848	
91	0.0000	0.0000	0.0000	0.7042	0.0000	0.0000	0.6872	
92	0.0000	0.0000	0.0000	0.7059	0.0000	0.0000	0.6896	
93	0.0000	0.0000	0.0000	0.7075	0.0000	0.0000	0.6918	
94	0.0000	0.0000	0.0000	0.7090	0.0000	0.0000	0.6940	
95	0.0000	0.0000	0.0000	0.7105	0.0000	0.0000	0.6961	
96	0.0000	0.0000	0.0000	0.7119	0.0000	0.0000	0.6981	
97	0.0000	0.0000	0.0000	0.7133	0.0000	0.0000	0.7000	
98	0.0000	0.0000	0.0000	0.7146	0.0000	0.0000	0.7018	
99	0.0000	0.0000	0.0000	0.7158	0.0000	0.0000	0.7036	
100	0.0000	0.0000	0.0000	0.7170	0.0000	0.0000	0.7053	
101	0.0000	0.0000	0.0000	0.7181	0.0000	0.0000	0.7070	
102	0.0000	0.0000	0.0000	0.7192	0.0000	0.0000	0.7085	
103	0.0000	0.0000	0.0000	0.7203	0.0000	0.0000	0.7100	
104	0.0000	0.0000	0.0000	0.7213	0.0000	0.0000	0.7115	
105	0.0000	0.0000	0.0000	0.7222	0.0000	0.0000	0.7129	
106	0.0000	0.0000	0.0000	0.7232	0.0000	0.0000	0.7142	
107	0.0000	0.0000	0.0000	0.7240	0.0000	0.0000	0.7155	
108	0.0000	0.0000	0.0000	0.7249	0.0000	0.0000	0.7167	
109	0.0000	0.0000	0.0000	0.7257	0.0000	0.0000	0.7179	
110	0.0000	0.0000	0.0000	0.7265	0.0000	0.0000	0.7190	
111	0.0000	0.0000	0.0000	0.7272	0.0000	0.0000	0.7200	
112	0.0000	0.0000	0.0000	0.7279	0.0000	0.0000	0.7211	
113	0.0000	0.0000	0.0000	0.7286	0.0000	0.0000	0.7220	
114	0.0000	0.0000	0.0000	0.7292	0.0000	0.0000	0.7230	
115	0.0000	0.0000	0.0000	0.7298	0.0000	0.0000	0.7239	
116	0.0000	0.0000	0.0000	0.7304	0.0000	0.0000	0.7247	
117	0.0000	0.0000	0.0000	0.7310	0.0000	0.0000	0.7256	
118	0.0000	0.0000	0.0000	0.7315	0.0000	0.0000	0.7263	
119	0.0000	0.0000	0.0000	0.7320	0.0000	0.0000	0.7271	
120	0.0000	0.0000	0.0000	0.7325	0.0000	0.0000	0.7278	
121	0.0000	0.0000	0.0000	0.7330	0.0000	0.0000	0.7285	
122	0.0000	0.0000	0.0000	0.7334	0.0000	0.0000	0.7291	
123	0.0000	0.0000	0.0000	0.7338	0.0000	0.0000	0.7298	
124	0.0000	0.0000	0.0000	0.7342	0.0000	0.0000	0.7303	
125	0.0000	0.0000	0.0000	0.7346	0.0000	0.0000	0.7309	
126	0.0000	0.0000	0.0000	0.7350	0.0000	0.0000	0.7315	
127	0.0000	0.0000	0.0000	0.7353	0.0000	0.0000	0.7320	
128	0.0000	0.0000	0.0000	0.7357	0.0000	0.0000	0.7325	
129	0.0000	0.0000	0.0000	0.7360	0.0000	0.0000	0.7329	
130	0.0000	0.0000	0.0000	0.7363	0.0000	0.0000	0.7334	
131	0.0000	0.0000	0.0000	0.7366	0.0000	0.0000	0.7338	
132	0.0000	0.0000	0.0000	0.7368	0.0000	0.0000	0.7342	
133	0.0000	0.0000	0.0000	0.7371	0.0000	0.0000	0.7346	
134	0.0000	0.0000	0.0000	0.7373	0.0000	0.0000	0.7350	
135	0.0000	0.0000	0.0000	0.7376	0.0000	0.0000	0.7353	
136	0.0000	0.0000	0.0000	0.7378	0.0000	0.0000	0.7356	
137	0.0000	0.0000	0.0000	0.7380	0.0000	0.0000	0.7360	
138	0.0000	0.0000	0.0000	0.7382	0.0000	0.0000	0.7363	
139	0.0000	0.0000	0.0000	0.7384	0.0000	0.0000	0.7366	
140	0.0000	0.0000	0.0000	0.7386	0.0000	0.0000	0.7368	
141	0.0000	0.0000	0.0000	0.7388	0.0000	0.0000	0.7371	
142	0.0000	0.0000	0.0000	0.7390	0.0000	0.0000	0.7373	
143	0.0000	0.0000	0.0000	0.7391	0.0000	0.0000	0.7376	
144	0.0000	0.0000	0.0000	0.7393	0.0000	0.0000	0.7378	
145	0.0000	0.0000	0.0000	0.7394	0.0000	0.0000	0.7380	
146	0.0000	0.0000	0.0000	0.7395	0.0000	0.0000	0.7382	
147	0.0000	0.0000	0.0000	0.7397	0.0000	0.0000	0.7384	
148	0.0000	0.0000	0.0000	0.7398	0.0000	0.0000	0.7386	
149	0.0000	0.0000	0.0000	0.7399	0.0000	0.0000	0.7388	
150	0.0000	0.0000	0.0000	0.7400	0.0000	0.0000	0.7390	
151	0.0000	0.0000	0.0000	0.7401	0.0000	0.0000	0.7391	
152	0.0000	0.0000	0.0000	0.7402	0.0000	0.0000	0.7393	
153	0.0000	0.0000	0.0000	0.7403	0.0000	0.0000	0.7394	
154	0.0000	0.0000	0.0000	0.7404	0.0000	0.0000	0.7395	
155	0.0000	0.0000	0.0000	0.7405	0.0000	0.0000	0.7397	
156	0.0000	0.0000	0.0000	0.7406	0.0000	0.0000	0.7398	
157	0.0000	0.0000	0.0000	0.7407	0.0000	0.0000	0.7399	
158	0.0000	0.0000	0.0000	0.7408	0.0000	0.0000	0.7400	
159	0.0000	0.0000	0.0000	0.7408	0.0000	0.0000	0.7401	
160	0.0000	0.0000	0.0000	0.7409	0.0000	0.0000	0.7402	
161	0.0000	0.0000	0.0000	0.7410	0.0000	0.0000	0.7403	
162	0.0000	0.0000	0.0000	0.7410	0.0000	0.0000	0.7404	
163	0.0000	0.0000	0.0000	0.7411	0.0000	0.0000	0.7405	
164	0.0000	0.0000	0.0000	0.7411	0.0000	0.0000	0.7406	
165	0.0000	0.0000	0.0000	0.7412	0.0000	0.0000	0.7407	
166	0.0000	0.0000	0.0000	0.7412	0.0000	0.0000	0.7408	
167	0.0000	0.0000	0.0000	0.7413	0.0000	0.0000	0.7408	
168	0.0000	0.0000	0.0000	0.7413	0.0000	0.0000	0.7409	
169	0.0000	0.0000	0.0000	0.7414	0.0000	0.0000	0.7410	
170	0.0000	0.0000	0.0000	0.7414	0.0000	0.0000	0.7410	
171	0.0000	0.0000	0.0000	0.7415	0.0000	0.0000	0.7411	
172	0.0000	0.0000	0.0000	0.7415	0.0000	0.0000	0.7411	
173	0.0000	0.0000	0.0000	0.7415	0.0000	0.0000	0.7412	
174	0.0000	0.0000	0.0000	0.7416	0.0000	0.0000	0.7412	
175	0.0000	0.0000	0.0000	0.7416	0.0000	0.0000	0.7413	
176	0.0000	0.0000	0.0000	0.7416	0.0000	0.0000	0.7413	
177	0.0000	0.0000	0.0000	0.7417	0.0000	0.0000	0.7414	
178	0.0000	0.0000	0.0000	0.7417	0.0000	0.0000	0.7414	
179	0.0000	0.0000	0.0000	0.7417	0.0000	0.0000	0.7415	
180	0.0000	0.0000	0.0000	0.7417	0.0000	0.0000	0.7415	
181	0.0000	0.0000	0.0000	0.7418	0.0000	0.0000	0.7415	
182	0.0000	0.0000	0.0000	0.7418	0.0000	0.0000	0.7416	
183	0.0000	0.0000	0.0000	0.7418	0.0000	0.0000	0.7416	
184	0.0000	0.0000	0.0000	0.7418	0.0000	0.0000	0.7416	
185	0.0000	0.0000	0.0000	0.7418	0.0000	0.0000	0.7417	
186	0.0000	0.0000	0.0000	0.7419	0.0000	0.0000	0.7417	
187	0.0000	0.0000	0.0000	0.7419	0.0000	0.0000	0.7417	
188	0.0000	0.0000	0.0000	0.7419	0.0000	0.0000	0.7417	
189	0.0000	0.0000	0.0000	0.7419	0.0000	0.0000	0.7418	
190	0.0000	0.0000	0.0000	0.7419	0.0000	0.0000	0.7418	
191	0.0000	0.0000	0.0000	0.7419	0.0000	0.0000	0.7418	
192	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7418	
193	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7418	
194	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
195	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
196	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
197	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
198	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
