T/1	Light:0	Pupil:0	
0	0.0000	0.0000	
1	0.5000	0.0200	
2	0.5000	0.0380	
3	0.5000	0.0542	
4	0.5000	0.0688	
5	0.5000	0.0819	
6	0.5000	0.0937	
7	0.5000	0.1043	
8	0.5000	0.1139	
9	0.5000	0.1225	
10	0.5000	0.1303	
11	0.5000	0.1372	
12	0.5000	0.1435	
13	0.5000	0.1492	
14	0.5000	0.1542	
15	0.5000	0.1588	
16	0.5000	0.1629	
17	0.5000	0.1666	
18	0.5000	0.1700	
19	0.5000	0.1730	
20	0.5000	0.1757	
21	0.5000	0.1781	
22	0.5000	0.1803	
23	0.5000	0.1823	
24	0.5000	0.1840	
25	0.5000	0.1856	
26	0.5000	0.1871	
27	0.5000	0.1884	
28	0.5000	0.1895	
29	0.5000	0.1906	
30	0.5000	0.1915	
31	0.5000	0.1924	
32	0.5000	0.1931	
33	0.5000	0.1938	
34	0.5000	0.1944	
35	0.5000	0.1950	
36	0.5000	0.1955	
37	0.5000	0.1959	
38	0.5000	0.1964	
39	0.5000	0.1967	
40	0.5000	0.1970	
41	0.5000	0.1973	
42	0.5000	0.1976	
43	0.5000	0.1978	
44	0.5000	0.1981	
45	0.5000	0.1983	
46	0.5000	0.1984	
47	0.5000	0.1986	
48	0.5000	0.1987	
49	0.5000	0.1989	
50	0.5000	0.1990	
51	0.5000	0.1991	
52	0.5000	0.1992	
53	0.5000	0.1992	
54	0.5000	0.1993	
55	0.5000	0.1994	
56	0.5000	0.1995	
57	0.5000	0.1995	
58	0.5000	0.1996	
59	0.5000	0.1996	
60	0.5000	0.1996	
61	0.5000	0.1997	
62	0.5000	0.1997	
63	0.5000	0.1997	
64	0.5000	0.1998	
65	0.5000	0.1998	
66	0.5000	0.1998	
67	0.5000	0.1998	
68	0.5000	0.1998	
69	0.5000	0.1999	
70	0.5000	0.1999	
71	0.5000	0.1999	
72	0.5000	0.1999	
73	0.5000	0.1999	
74	0.5000	0.1999	
75	0.5000	0.1999	
76	0.5000	0.1999	
77	0.5000	0.1999	
78	0.5000	0.1999	
79	0.5000	0.2000	
80	0.5000	0.2000	
81	0.5000	0.2000	
82	0.5000	0.2000	
83	0.5000	0.2000	
84	0.5000	0.2000	
85	0.5000	0.2000	
86	0.5000	0.2000	
87	0.5000	0.2000	
88	0.5000	0.2000	
89	0.5000	0.2000	
90	0.5000	0.2000	
91	0.5000	0.2000	
92	0.5000	0.2000	
93	0.5000	0.2000	
94	0.5000	0.2000	
95	0.5000	0.2000	
96	0.5000	0.2000	
97	0.5000	0.2000	
98	0.5000	0.2000	
99	0.5000	0.2000	
100	0.5000	0.2000	
101	0.5000	0.2000	
102	0.5000	0.2000	
103	0.5000	0.2000	
104	0.5000	0.2000	
105	0.5000	0.2000	
106	0.5000	0.2000	
107	0.5000	0.2000	
108	0.5000	0.2000	
109	0.5000	0.2000	
110	0.5000	0.2000	
111	0.5000	0.2000	
112	0.5000	0.2000	
113	0.5000	0.2000	
114	0.5000	0.2000	
115	0.5000	0.2000	
116	0.5000	0.2000	
117	0.5000	0.2000	
118	0.5000	0.2000	
119	0.5000	0.2000	
120	0.5000	0.2000	
121	0.5000	0.2000	
122	0.5000	0.2000	
123	0.5000	0.2000	
124	0.5000	0.2000	
125	0.5000	0.2000	
126	0.5000	0.2000	
127	0.5000	0.2000	
