LIGHT/1	PUPIL/1
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
-0.0       0.05
-0.0       0.05
-0.0       0.05
-0.0       0.05
-0.0       0.05
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
-0.0       0.25
-0.0       0.25
-0.0       0.25
-0.0       0.25
-0.0       0.25
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
-0.0       0.6
-0.0       0.6
-0.0       0.6
-0.0       0.6
-0.0       0.6
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
-0.0       0.75
-0.0       0.75
-0.0       0.75
-0.0       0.75
-0.0       0.75
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
0       0
