T/1	SERVOIX/3			SERVOSPEED/3			
0	0	0	0	0.00	0.00	0.00	
1	0	0	0	0.00	0.00	0.00	
2	0	0	0	0.25	0.00	0.00	
3	0	0	0	0.25	0.00	0.00	
4	0	0	0	0.25	0.00	0.00	
5	0	0	0	0.25	0.00	0.00	
6	0	0	0	0.25	0.00	0.00	
7	0	0	0	0.25	0.00	0.00	
8	0	0	0	0.25	0.00	0.00	
9	0	0	0	0.25	0.00	0.00	
10	0	0	0	0.25	0.00	0.00	
11	0	0	0	0.25	0.00	0.00	
12	0	0	0	0.50	0.00	0.00	
13	0	0	0	0.50	0.00	0.00	
14	0	0	0	0.50	0.00	0.00	
15	0	0	0	0.50	0.00	0.00	
16	0	0	0	0.50	0.00	0.00	
17	0	0	0	0.50	0.00	0.00	
18	0	0	0	0.50	0.00	0.00	
19	0	0	0	0.50	0.00	0.00	
20	0	0	0	0.50	0.00	0.00	
21	0	0	0	0.50	0.00	0.00	
22	0	0	0	0.75	0.00	0.00	
23	0	0	0	0.75	0.00	0.00	
24	0	0	0	0.75	0.00	0.00	
25	0	0	0	0.75	0.00	0.00	
26	0	0	0	0.75	0.00	0.00	
27	0	0	0	0.75	0.00	0.00	
28	0	0	0	0.75	0.00	0.00	
29	0	0	0	0.75	0.00	0.00	
30	0	0	0	0.75	0.00	0.00	
31	0	0	0	0.75	0.00	0.00	
32	0	0	0	1.00	0.00	0.00	
33	0	0	0	1.00	0.00	0.00	
34	0	0	0	1.00	0.00	0.00	
35	0	0	0	1.00	0.00	0.00	
36	0	0	0	1.00	0.00	0.00	
37	0	0	0	1.00	0.00	0.00	
38	0	0	0	1.00	0.00	0.00	
39	0	0	0	1.00	0.00	0.00	
40	0	0	0	1.00	0.00	0.00	
41	0	0	0	1.00	0.00	0.00	
42	0	0	0	0.00	0.25	0.00	
43	1	0	0	0.00	0.25	0.00	
44	1	0	0	0.00	0.25	0.00	
45	1	0	0	0.00	0.25	0.00	
46	1	0	0	0.00	0.25	0.00	
47	1	0	0	0.00	0.25	0.00	
48	1	0	0	0.00	0.25	0.00	
49	1	0	0	0.00	0.25	0.00	
50	1	0	0	0.00	0.25	0.00	
51	1	0	0	0.00	0.25	0.00	
52	1	0	0	0.00	0.50	0.00	
53	1	0	0	0.00	0.50	0.00	
54	1	0	0	0.00	0.50	0.00	
55	1	0	0	0.00	0.50	0.00	
56	1	0	0	0.00	0.50	0.00	
57	1	0	0	0.00	0.50	0.00	
58	1	0	0	0.00	0.50	0.00	
59	1	0	0	0.00	0.50	0.00	
60	1	0	0	0.00	0.50	0.00	
61	1	0	0	0.00	0.50	0.00	
62	1	0	0	0.00	0.75	0.00	
63	1	0	0	0.00	0.75	0.00	
64	1	0	0	0.00	0.75	0.00	
65	1	0	0	0.00	0.75	0.00	
66	1	0	0	0.00	0.75	0.00	
67	1	0	0	0.00	0.75	0.00	
68	1	0	0	0.00	0.75	0.00	
69	1	0	0	0.00	0.75	0.00	
70	1	0	0	0.00	0.75	0.00	
71	1	0	0	0.00	0.75	0.00	
72	1	0	0	0.00	1.00	0.00	
73	1	0	0	0.00	1.00	0.00	
74	1	0	0	0.00	1.00	0.00	
75	1	0	0	0.00	1.00	0.00	
76	1	0	0	0.00	1.00	0.00	
77	1	0	0	0.00	1.00	0.00	
78	1	0	0	0.00	1.00	0.00	
79	1	0	0	0.00	1.00	0.00	
80	1	0	0	0.00	1.00	0.00	
81	1	0	0	0.00	1.00	0.00	
82	1	0	0	0.00	0.00	0.25	
83	2	0	0	0.00	0.00	0.25	
84	2	0	0	0.00	0.00	0.25	
85	2	0	0	0.00	0.00	0.25	
86	2	0	0	0.00	0.00	0.25	
87	2	0	0	0.00	0.00	0.25	
88	2	0	0	0.00	0.00	0.25	
89	2	0	0	0.00	0.00	0.25	
90	2	0	0	0.00	0.00	0.25	
91	2	0	0	0.00	0.00	0.25	
92	2	0	0	0.00	0.00	0.50	
93	2	0	0	0.00	0.00	0.50	
94	2	0	0	0.00	0.00	0.50	
95	2	0	0	0.00	0.00	0.50	
96	2	0	0	0.00	0.00	0.50	
97	2	0	0	0.00	0.00	0.50	
98	2	0	0	0.00	0.00	0.50	
99	2	0	0	0.00	0.00	0.50	
100	2	0	0	0.00	0.00	0.50	
101	2	0	0	0.00	0.00	0.50	
102	2	0	0	0.00	0.00	0.75	
103	2	0	0	0.00	0.00	0.75	
104	2	0	0	0.00	0.00	0.75	
105	2	0	0	0.00	0.00	0.75	
106	2	0	0	0.00	0.00	0.75	
107	2	0	0	0.00	0.00	0.75	
108	2	0	0	0.00	0.00	0.75	
109	2	0	0	0.00	0.00	0.75	
110	2	0	0	0.00	0.00	0.75	
111	2	0	0	0.00	0.00	0.75	
112	2	0	0	0.00	0.00	1.00	
113	2	0	0	0.00	0.00	1.00	
114	2	0	0	0.00	0.00	1.00	
115	2	0	0	0.00	0.00	1.00	
116	2	0	0	0.00	0.00	1.00	
117	2	0	0	0.00	0.00	1.00	
